iter	Logloss
0	0.6172024394
1	0.5852480627
2	0.5765361018
3	0.5573052574
4	0.5485460547
5	0.539805165
6	0.5337514125
7	0.5263195847
8	0.5137508266
9	0.5091288944
10	0.5040673146
11	0.4967155401
12	0.4892406764
13	0.487422664
14	0.4821785816
15	0.4749987442
16	0.4734916417
17	0.4700331333
18	0.4699572886
19	0.4695273981
20	0.469155572
21	0.4625025051
22	0.4587244661
23	0.4527629641
24	0.4513594266
25	0.449931438
26	0.4450361699
27	0.4437008915
28	0.4383242587
29	0.4370502167
30	0.4353731937
31	0.4328283194
32	0.4314410452
33	0.4266601458
34	0.4253377995
35	0.4248059809
36	0.4223846537
37	0.4194956561
38	0.4176586833
39	0.4150039284
40	0.4149113526
41	0.4143347963
42	0.4140832868
43	0.4101212654
44	0.4069317385
45	0.4058080781
46	0.4051768262
47	0.4044934462
48	0.4043902989
49	0.4038306598
