iter	Passed	Remaining
0	40	1970
1	49	1181
2	55	863
3	63	729
4	71	646
5	81	595
6	90	553
7	98	516
8	107	488
9	115	462
10	124	439
11	132	420
12	141	402
13	160	413
14	169	394
15	177	377
16	185	360
17	194	344
18	199	326
19	208	312
20	216	299
21	226	287
22	236	277
23	245	266
24	254	254
25	263	243
26	272	231
27	281	220
28	290	210
29	300	200
30	309	189
31	317	178
32	327	168
33	336	158
34	345	148
35	354	137
36	363	127
37	372	117
38	380	107
39	389	97
40	398	87
41	408	77
42	418	68
43	427	58
44	437	48
45	446	38
46	454	29
47	463	19
48	471	9
49	480	0
